timestamp,data_point,left_1,left_2,left_3,left_4,right_1,right_2,right_3,right_4
1752697520.89954,0,0.0,0,0,0,0,0,0.0,0.0
1752697521.099518,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697521.299438,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697521.499743,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697521.701838,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697521.9153368,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697522.099495,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697522.2994611,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697521752697522.800593,8,0.0,0.0,0.0,0.0,1862.0,4095.0,4095.0,2385.0
1752697523.00093,9,0.0,0.0,0.0,0.0,4095.0,4095.0,4095.0,4095.0
1752697523.20088,10,0.0,0.0,0.0,0.0,4095.0,4051.0,1733.0,1671.0
1752697523.399484,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697523.599537,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697523.799506,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697523.999632,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697524.199521,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697524.399509,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697524.599492,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697524.79988,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697524.999548,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697525.500631,20,0.0,0.0,0.0,0.0,4095.0,4095.0,4095.0,2128.0
1752697525.7005901,21,0.0,0.0,0.0,0.0,1767.0,4095.0,4095.0,1759.0
1752697525.8995252,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752697526.101836,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
